"nu_Licitacao","cd_UGestora","tp_Licitacao","dt_Homologacao","tp_Objeto","vl_Licitacao","de_Obs"
"000000000",301001,6,"2014-01-01 00:00:00",2,NA,NA
"000002013",101095,8,"2013-03-22 00:00:00",2,25000,"modulo de votação ampliação do painel"
"000002014",101058,8,"2014-01-01 00:00:00",2,24000,"CONTRATACAO DE UMA EMPRESA PARA PRESTACAO DE SERVIO TECNICOS ESPECIALIZADO EM: CONTABILIDADE PUBLICA EM GERAL, PLANEJAME"
"000012003",201040,1,"2014-03-01 00:00:00",2,103020000,"SERVIÇOS DE IMPLANTAÇÃO OPERAÇÃO E DISPOSIÇÃO DOS RESIDUOS SOLIDOS URABNOS, NESTE MUNICIPIO"
"000012005",301095,1,"2006-05-05 00:00:00",1,2400000,"ZONA AZUL"
"000012006",301095,2,"2006-03-03 00:00:00",2,504500,"IMPLANMTAÇÃO DE SINALIZAÇÃO HORIZONTAL DE TRANSITO."
"000012007",301095,1,"2007-08-31 00:00:00",2,657657.6,"prestaçao de serviços de operacionalizaçao dos sistemas de bilhetagem eletronica e de gestao de transporte"
"000012008",201095,5,"2013-06-01 00:00:00",1,349041.6,"CONVÊNIO 2009, DE ACORDO COM A ORDEM DE SERVIÇO 008/2010, DE OPERAÇÕES NO PROGRAMA DE SUBSIDIO A HABITAÇÃO SOCIAL - PSH,"
"000012009",201024,2,"2013-05-01 00:00:00",1,257019.38,"CONSTRUÇÃO DE MELHORIAS SANITARIAS."
"000012010",301001,8,"2010-06-02 00:00:00",2,9800,"Servicos prestados na qualidade de assessoria e consultoria contabil"
"000012011",201065,1,"2011-05-06 00:00:00",1,1375581.42,"EXECUÇÃO DE URBANIZAÇÃO E CALÇADÃO DOENTORNO DA PB 004."
"000012012",201004,1,"2012-11-27 00:00:00",2,2663136.57,"SISTEMA DE ESGOTAMENTO SANITÁRIO – 1ª ETAPA"
"000012013",101001,8,"2013-03-02 00:00:00",2,28000,"Servicos de Assessoria Contabil elaboracao de balancetes e folha de pagamento"
"000012014",101001,8,"2014-03-06 00:00:00",2,18000,"CONTRATACAO DE ASSESSORIA JURIDICA, ORIENTANDO E ASSESSORANDO O PRESIDENTE DA CAMARA E VEREADORES NO CUMPRIMENTO DAS LEI"
"000012015",101001,2,"2015-03-19 00:00:00",2,35000,"CONTRATACAO DOS SERVICOS DE ASSESSORIA CONTABIL, ELABORACAO DE BALANCETES E FOLHA DE PAGAMENTO PARA A CAMARA MUNICIPAL D"
"000012016",101002,11,"2016-05-03 00:00:00",2,19200,"LOCACAO DE VEICULO"
"000012019",201115,7,"2015-01-13 00:00:00",2,10560,"LOCACAO DE 02(DOIS) CAMPOS DE FUTEBOL PERTENCENTE AO CLUBE DOS CACADORES NO DISTRITO DE SANTA TEREZINHA PARA QUE OS JOVE"
"000012104",201060,2,"2014-11-21 00:00:00",1,399593.39,"CONTRATACAO DE EMPRESA PARA EXECUCAO DE OBRA DE REFORMA E AMPLIACAO DA E.E.E.F. SEBASTIAO ALVES DE LIMA, NO MUNICIPIO DE"
